"Chapter","Verse","Version","Script" 
"05","12","05B","() ἀνήρ@nnmsc λέπρα@ngfsc ()" 
"05","13","05B","καί@cc () ἅπτω@viam3s αὐτός@rpgms λέγω@vppanms καθαρίζω@vdap2s καί@cc εὐθέως@b [ὁ@dnfs λέπρα@nnfsc ἀπέρχομαι@viaa3s ἀπό@pg αὐτός@rpgms]" 
"05","14","05B","καί@cc αὐτός@rtnms παραγγέλλω@viaa3s αὐτός@rpdms μηδείς@ridms λέγω@vnaa ἀλλά@cc ἀπέρχομαι@vpaanms δείκνυμι@vdaa2s σεαυτοῦ@rxams ὁ@ddms ἱερεύς@ndmsc καί@cc προσφέρω@vdaa2s περί@pg ὁ@dgms καθαρισμός@ngmsc σύ@rpg-s καθώς@cs προστάσσω@viaa3s Μωϋσῆς@nnmsp ἵνα@cs εἰμί@vspa3s μαρτύριον@nansc οὗτος@rdnns σύ@rpd-p" 
"05","18","05B","() παραλυτικός@anamsn ()" 
"05","19","05B","() ὁ@dams ὄχλος@namsc () εἰς@pa ὁ@dans μέσος@anansn ἔμπροσθεν@pg ὁ@dgms Ἰησοῦς@ngmsp" 
"05","20","05B","() [() λέγω@viaa3s] ἀφίημι@vixp3p σύ@rpd-s ὁ@dnfp ἁμαρτία@nnfpc σύ@rpg-s" 
"05","21","05B","καί@cc () λέγω@vppanmp τίς@rqnms δύναμαι@vipm3s ἁμαρτία@nafpc ἀφίημι@vnaa εἰ@cs μή@x μόνος@annmsn ὁ@dnms θεός@nnmsc" 
"05","22","05B","[δέ@cc ὁ@dnms Ἰησοῦς@nnmsp () ἀποκρίνομαι@vpapnms λέγω@viaa3s] ()" 
"05","24","05B","ἵνα@cs δέ@cc οἶδα@vsxa2p ὅτι@cs ἐξουσία@nafsc ἔχω@vipa3s ὁ@dnms υἱός@nnmsc ὁ@dgms ἄνθρωπος@ngmsc ἀφίημι@vnpa ἁμαρτία@nafpc ἐπί@pg ὁ@dgfs γῆ@ngfsc [λέγω@viaa3s ὁ@ddms παραλυτικός@andmsn] () ἐγείρω@vdpa2s καί@cc αἴρω@vdaa2s ὁ@dams κράβαττος@namsc σύ@rpg-s ()" 
"05","25","05B","καί@cc παραχρῆμα@b ἀνίστημι@vpaanms ἐνώπιον@pg αὐτός@rpgmp ()" 
"05","27","05B","() τελώνης@namsc () καί@cc λέγω@viaa3s αὐτός@rpdms ἀκολουθέω@vdpa2s ἐγώ@rpd-s" 
"05","31","05B","() οὐ@b χρεία@nafsc ἔχω@vipa3p ὁ@dnmp ὑγιαίνω@vppanmp ἰατρός@ngmsc ἀλλά@cc ὁ@dnmp κακῶς@b ἔχω@vppanmp" 
"05","33","05B","ὁ@dnmp δέ@cc λέγω@viaa3p πρός@pa αὐτός@rpams διά@pa τίς@rqans ὁ@dnmp μαθητής@nnmpc Ἰωάννης@ngmsp νηστεύω@vipa3p πυκνός@b καί@cc δέησις@nafpc ποιέω@vipm3p ὁ@dnmp δέ@cc σός@asnmpn ἐσθίω@vipa3p καί@cc πίνω@vipa3p" 
"05","34","05B","ὁ@dnms δέ@cc Ἰησοῦς@nnmsp λέγω@viaa3s πρός@pa αὐτός@rpamp μή@x δύναμαι@vipm2p ὁ@dnmp υἱός@nnmpc ὁ@dgms νυμφών@ngmsc ἐν@pd ὅς@rrdms ὁ@dnms νυμφίος@nnmsc μετά@pg αὐτός@rpgmp εἰμί@vipa3s νηστεύω@vnpa" 
"05","35","05B","() ἔρχομαι@vifm3p δέ@cc ἡμέρα@nnfpc καί@cc ὅταν@cs ἀπαίρω@vsap3s ἀπό@pg αὐτός@rpgmp ὁ@dnms νυμφίος@nnmsc τότε@b νηστεύω@vifa3p ()" 
"05","37","05B","οὐ@b βάλλω@vipa3p οἶνος@namsc νέος@anamsn εἰς@pa ἀσκός@nampc παλαιός@anampn εἰ@cs δέ@cc μή@x γέ@x ῥήγνυμι@vifa3s ὁ@dnms οἶνος@nnmsc ὁ@dnms νέος@anamsn ὁ@damp ἀσκός@nampc καί@cc αὐτός@rtnms ἐκχέω@vifp3s καί@cc ὁ@dnmp ἀσκός@nnmpc ἀπόλλυμι@vifm3p" 
"05","38","05B","ἀλλά@cc βάλλω@vipa3p οἶνος@namsc νέος@anamsn εἰς@pa ἀσκός@nampc νέος@anampn καί@cc ἀμφότεροι@annmpn συντηρέω@vipp3p" 
"05","36","05B","καί@cc οὐδέ@cc ἐπίβλημα@nansc ῥάκος@ngnsc ἄγναφος@angnsn ἐπί@pd ἱμάτιον@ndnsc παλαιός@andnsn εἰ@cs δέ@cc μή@x γέ@x καί@cc ὁ@dans πλήρωμα@nansc αἴρω@vipa3s καί@cc ὁ@ddns παλαιός@andnsn οὐ@b συμφωνέω@vifa3s μέγας@annnsc γάρ@cc σχίσμα@nnnsc γίνομαι@vifm3s" 
"06","01","05B","γίνομαι@viam3s δέ@cc ἐν@pd σάββατον@ndnsc () τίλλω@viia3p ὁ@dnmp μαθητής@nnmpc ὁ@damp στάχυς@nampc ψώχω@vppanmp ὁ@ddfp χείρ@ndfpc" 
"06","02","05B","τὶς@rinmp δέ@cc ὁ@dgmp Φαρισαῖος@ngmpp λέγω@viaa3p τίς@rqans ποιέω@vipa2p ὅς@rrnns οὐ@b ἔξειμι@vipa3s ὁ@ddnp σάββατον@ndnpc" 
"06","03","05B","καί@cc ἀποκρίνομαι@vpapnms πρός@pa αὐτός@rpamp λέγω@viaa3s ὁ@dnms Ἰησοῦς@nnmsp οὐδέ@b οὗτος@rdans ἀναγινώσκω@viaa2p τίς@rqans ποιέω@viaa3s Δαυίδ@nnmsp ὅτε@cs πεινάω@viaa3s αὐτός@rtnms καί@cc ὁ@dnmp μετά@pg αὐτός@rpgms εἰμί@vppanmp" 
"06","04","05B","ὡς@cs εἰσέρχομαι@viaa3s εἰς@pa ὁ@dams οἶκος@namsc ὁ@dgms θεός@ngmsc ἐν@pd ὁ@ddns σάββατον@ndnsc καί@cc ὁ@damp ἄρτος@nampc ὁ@dgfs πρόθεσις@ngfsc λαμβάνω@vpaanms ἐσθίω@viaa3s καί@cc δίδωμι@viaa3s ὁ@ddmp μετά@pg αὐτός@rpgms" 
"06","06","05B","γίνομαι@viam3s δέ@cc καί@b ἐν@pd ἕτερος@aidnsn σάββατον@ndnsc () εἰμί@viia3s ἄνθρωπος@nnmsc ἐκεῖ@b καί@cc ὁ@dnfs χείρ@nnfsc αὐτός@rpgms ὁ@dnfs δεξιός@annfsn εἰμί@viia3s ξηρός@annfsn" 
"06","07","05B","παρατηρέω@viim3p δέ@cc αὐτός@rpams ὁ@dnmp Φαρισαῖος@nnmpp εἰ@x ἐν@pd ὁ@ddns σάββατον@ndnsc θεραπεύω@vipa3s ἵνα@cs εὑρίσκω@vsaa3p κατηγορέω@vnpa αὐτός@rpgms" 
"06","08","05B","αὐτός@rtnms δέ@cc οἶδα@viya3s ὁ@damp διαλογισμός@nampc αὐτός@rpgmp ()" 
"06","09","05B","λέγω@viaa3s δέ@cc ὁ@dnms Ἰησοῦς@nnmsp πρός@pa αὐτός@rpamp ἐπερωτάω@vipa1s σύ@rpa-p εἰ@x ἔξειμι@vipa3s ὁ@ddns σάββατον@ndnsc ἀγαθοποιέω@vnaa ἤ@cc κακοποιέω@vnaa ψυχή@nafsc σῴζω@vnaa ἤ@cc ἀπόλλυμι@vnaa" 
"06","10","05B","καί@cc περιβλέπω@vpamnms πᾶς@aiampn αὐτός@rpamp λέγω@viaa3s αὐτός@rpdms ἐκτείνω@vdaa2s ὁ@dafs χείρ@nafsc σύ@rpg-s ὁ@dnms δέ@cc ποιέω@viaa3s καί@cc ἀποκαθιστάνω@viap3s ὁ@dnfs χείρ@nnfsc αὐτός@rpgms" 
"06","05","05B","καί@cc λέγω@viia3s αὐτός@rpdmp ὅτι@cs κύριος@nnmsc εἰμί@vipa3s ὁ@dnms υἱός@nnmsc ὁ@dgms ἄνθρωπος@ngmsc καί@b ὁ@dgns σάββατον@ngnsc" 
"06","12","05B","() ἐξέρχομαι@viaa3s εἰς@pa ὁ@dans ὄρος@nansc προσεύχομαι@vnam καί@cc εἰμί@viia3s διανυκτερεύω@vppanms ἐν@pd ὁ@ddfs προσευχή@ndfsc ()" 
"06","13","05B","() προσφωνέω@viaa3s ὁ@damp μαθητής@nampc αὐτός@rpgms καί@cc ἐκλέγω@vpamnms ἀπό@pg αὐτός@rpgmp δώδεκα@ac---n ὅς@rramp καί@b ἀπόστολος@nampc ὀνομάζω@viaa3s" 
"06","14","05B","[πρῶτος@b] Σίμων@namsp ὅς@rrams καί@b Πέτρος@namsp ἐπονομάζω@viaa3s [καί@cc Ἀνδρέας@namsp ὁ@dams ἀδελφός@namsc αὐτός@rpgms καί@cc Ἰάκωβος@namsp καί@cc Ἰωάννης@namsp καί@cc Φίλιππος@namsp καί@cc Βαρθολομαῖος@namsp]" 
"06","15","05B","[καί@cc Μαθθαῖος@namsp καί@cc Θωμᾶς@namsp καί@cc Ἰάκωβος@namsp Ἁλφαῖος@ngmsp καί@cc Σίμων@namsp ὁ@dams καλέω@vpppams ζηλωτής@namsc]" 
"06","16","05B","[καί@cc Ἰούδας@namsp Ἰάκωβος@ngmsp] καί@cc Ἰούδας@namsp Ἰσκαριώθ@namsp ὅς@rrnms γίνομαι@viam3s προδότης@nnmsc" 
"06","17","05B","καί@cc καταβαίνω@viaa3s ἐν@pd αὐτός@rpdmp () πλῆθος@nnnsc πολύς@annnsn ὁ@dgms λαός@ngmsc ἀπό@pg πᾶς@aigfsn ὁ@dgfs παράλιος@angfsn Τύρος@ngfsp καί@cc Σιδών@ngfsp" 
"06","19a","05B","καί@cc πᾶς@ainmsn ὁ@dnms ὄχλος@nnmsc ζητέω@viia3s ἅπτω@vnpm αὐτός@rpgms ()" 
"06","20","05B","καί@cc αὐτός@rtnms ἐπαίρω@vpaanms ὁ@damp ὀφθαλμός@nampc αὐτός@rpgms () [λέγω@viia3s] μακάριος@annmpn ὁ@dnmp πτωχός@annmpn ὅτι@cs αὐτός@rpgmp εἰμί@vipa3s ὁ@dnfs βασιλεία@nnfsc ὁ@dgms θεός@ngmsc" 
"06","21","05B","μακάριος@annmpn ὁ@dnmp πεινάω@vppanmp ὅτι@cs χορτάζω@vifp3p μακάριος@annmpn ὁ@dnmp κλαίω@vppanmp ὅτι@cs γελάω@vifa3p" 
"06","22","05B","μακάριος@annmpn εἰμί@vifm2p ὅταν@cs μισέω@vifa3p σύ@rpa-p ὁ@dnmp ἄνθρωπος@nnmpc καί@cc ὀνειδίζω@vifa3p καί@cc ἐκβάλλω@vifa3p ὁ@dans ὄνομα@nansc σύ@rpg-p ὡς@cs πονηρός@anansn ἕνεκα@pg ὁ@dgms υἱός@ngmsc ὁ@dgms ἄνθρωπος@ngmsc" 
"06","23","05B","κατά@pa ὁ@danp αὐτός@rpanp ποιέω@viia3p ὁ@ddmp προφήτης@ndmpc ὁ@dnmp πατήρ@nnmpc σύ@rpg-p" 
"06","24","05B","[πλήν@cc] οὐαί@i σύ@rpd-p ὁ@ddmp πλούσιος@andmpn ὅτι@cs ἀπέχω@vipa2p ὁ@dafs παράκλησις@nafsc σύ@rpg-p" 
"06","25","05B","οὐαί@i σύ@rpd-p ὁ@dnmp ἐμπίπλημι@vpxpnmp ὅτι@cs πεινάω@vifa2p οὐαί@i σύ@rpd-p ὁ@dnmp γελάω@vppanmp νῦν@b ὅτι@cs πενθέω@vifa2p" 
"06","26","05B","οὐαί@i ὅταν@cs σύ@rpa-p καλῶς@b λέγω@vsaa3p ὁ@dnmp ἄνθρωπος@nnmpc κατά@pa οὗτος@rdanp ποιέω@viia3p καί@cc ὁ@ddmp ψευδοπροφήτης@ndmpc ὁ@dnmp πατήρ@nnmpc αὐτός@rpgmp" 
"06","27","05B","ἀλλά@cc σύ@rpd-p λέγω@vipa1s ὁ@ddmp ἀκούω@vppadmp ἀγαπάω@vdpa2p ὁ@damp ἐχθρός@anampn σύ@rpg-p [καλῶς@b ποιέω@vdpa2p] ὁ@ddmp μισέω@vppadmp σύ@rpa-p" 
"06","28","05B","εὐλογέω@vdpa2p ὁ@damp καταράομαι@vppmamp σύ@rpa-p καί@cc προσεύχομαι@vdpm2p περί@pg ὁ@dgmp ἐπηρεάζω@vppagmp σύ@rpa-p" 
"06","29","05B","ἐάν@cs τὶς@rinms σύ@rpa-s ῥαπίζω@vsaa3s εἰς@pa ὁ@dafs σιαγών@nafsc παρατίθημι@vdaa2s αὐτός@rpdms καί@b ὁ@dafs ἄλλος@aiafsn καί@cc ἐάν@cs τὶς@rinms σύ@rpg-s αἴρω@vsaa3s ὁ@dans ἱμάτιον@nansc προστίθημι@vdaa2s αὐτός@rpdms καί@cc ὁ@dams χιτών@namsc" 
"06","30","05B","πᾶς@aidmsn αἰτέω@vppadms σύ@rpa-s δίδωμι@vdpa2s καί@cc ἀπό@pg ὁ@dgms αἴρω@vppagms μή@x ἀπαιτέω@vdpa2s" 
"06","31","05B","καί@cc καθώς@cs θέλω@vipa2p ἵνα@cs ποιέω@vspa3p σύ@rpd-p ὁ@dnmp ἄνθρωπος@nnmpc ποιέω@vdpa2p αὐτός@rpdmp ὁμοίως@b" 
"06","34","05B","καί@cc ἐάν@cs δανίζω@vsaa2p παρά@pg ὅς@rrgmp ἐλπίζω@vipa2p λαμβάνω@vnaa ποῖος@aqnfsn σύ@rpd-p χάρις@nnfsc εἰμί@vipa3s ()" 
"06","35","05B","πλήν@cc () δανίζω@vdpa2p μηδείς@rians ἀπελπίζω@vppanmp () καί@cc εἰμί@vifm2p υἱός@nnmpc θεός@ngmsc ὅτι@cs αὐτός@rtnms χρηστός@annmsn εἰμί@vipa3s ἐπί@pa ὁ@damp ἀχάριστος@anampn καί@cc πονηρός@anampn" 
"06","36","05B","γίνομαι@vdpm2p οἰκτίρμων@annmpn καθώς@cs ὁ@dnms πατήρ@nnmsc σύ@rpg-p σύ@rpg-p οἰκτίρμων@annmsn εἰμί@vipa3s" 
"06","37","05B","μή@x κρίνω@vdpa2p ἵνα@cs μή@x κρίνω@vsap2p μή@x καταδικάζω@vdpa2p ἵνα@cs μή@x καταδικάζω@vsap2p ἀπολύω@vdpa2p καί@cc ἀπολύω@vifp2p" 
"06","38","05B","δίδωμι@vipa2p καί@cc δίδωμι@vifp3s σύ@rpd-p μέτρον@nansc καλός@anansn πιέζω@vpxpans καί@cc ὑπερεκχύννω@vpppans δίδωμι@vifa3p εἰς@pa ὁ@dams κόλπος@namsc σύ@rpg-p ὅς@rrdns μέτρον@ndnsc μετρέω@vipa2p ἀντιμετρέω@vifp3s σύ@rpd-p" 
"06","39","05B","λέγω@viaa3s δέ@cc καί@b παραβολή@nafsc αὐτός@rpdmp μήτι@x δύναμαι@vipm3s τυφλός@annmsn τυφλός@anamsn ὁδηγέω@vnpa οὐχί@b ἀμφότεροι@annmpn εἰς@pa βόθυνος@namsc ἐμπίπτω@vifm3p" 
"06","40","05B","οὐ@b εἰμί@vipa3s μαθητής@nnmsc ὑπέρ@pa ὁ@dams διδάσκαλος@namsc ()" 
"06","42","05B","πῶς@b δύναμαι@vipm2s λέγω@vnpa ὁ@ddms ἀδελφός@ndmsc σύ@rpg-s ἀδελφός@nvmsc ἀφίημι@vdaa2s ἐκβάλλω@vsaa1s ὁ@dans κάρφος@nansc ὁ@dans ἐν@pd ὁ@ddns ὀφθαλμός@ndmsc σύ@rpg-s αὐτός@rtnms ὁ@dafs ἐν@pd ὁ@ddns ὀφθαλμός@ndmsc σύ@rpg-s δοκός@nafsc οὐ@b βλέπω@vppanms ὑποκριτής@nvmsc ἐκβάλλω@vdaa2s πρῶτος@b ὁ@dafs δοκός@nafsc ἐκ@pg ὁ@dgms ὀφθαλμός@ngmsc σύ@rpg-s καί@cc τότε@b διαβλέπω@vifa2s ὁ@dans κάρφος@nansc ὁ@dans ἐν@pd ὁ@ddns ὀφθαλμός@ndmsc ὁ@dgms ἀδελφός@ngmsc σύ@rpg-s ἐκβάλλω@vnaa" 
"06","43","05B","οὐ@b δύναμαι@vipm3s δένδρον@nnnsc καλός@annnsn καρπός@nampc κακός@anampn φέρω@vnaa οὐδέ@cc δένδρον@nnnsc σαπρός@annnsn καρπός@namsc καλός@anamsn φέρω@vnaa" 
"06","45","05B","ὁ@dnms ἀγαθός@annmsn ἄνθρωπος@nnmsc ἐκ@pg ὁ@dgms ἀγαθός@angmsn θησαυρός@ngmsc ὁ@dgfs καρδία@ngfsc προφέρω@vipa3s ὁ@dans ἀγαθός@anansn καί@cc ὁ@dnms πονηρός@annmsn ἐκ@pg ὁ@dgms πονηρός@angmsn προφέρω@vipa3s ὁ@dans πονηρός@anansn" 
"06","46","05B","τίς@rqans δέ@cc ἐγώ@rpa-s καλέω@vipa2p κύριος@nvmsc κύριος@nvmsc καί@cc οὐ@b ποιέω@vipa2p ὅς@rranp λέγω@vipa1s" 
"06","47","05B","πᾶς@ainmsn ὁ@dnms ἔρχομαι@vppmnms πρός@pa ἐγώ@rpa-s καί@cc ἀκούω@vppanms ἐγώ@rpg-s ὁ@dgmp λόγος@ngmpc καί@cc ποιέω@vppanms αὐτός@rpamp ()" 
"06","48","05B","() ὅμοιος@annmsn εἰμί@vipa3s ἄνθρωπος@ndmsc φρόνιμος@andmsn οἰκοδομέω@vppadms οἰκία@nafsc ὅς@rrnms σκάπτω@viaa3s καί@cc βαθύνω@viaa3s καί@cc τίθημι@viaa3s θεμέλιος@namsc ἐπί@pa ὁ@dafs πέτρα@nafsc πλήμμυρα@ngfsc ()" 
"07","07","05B","[() () ἀλλά@cc λέγω@vdaa2s λόγος@ndmsc καί@cc ἰάομαι@vdap3s ὁ@dnms παῖς@nnmsc ἐγώ@rpg-s]" 
"07","08","05B","[()]" 
"07","09","05B","ἀκούω@vpaanms δέ@cc οὗτος@rdanp ὁ@dnms Ἰησοῦς@nnmsp θαυμάζω@viaa3s αὐτός@rpams καί@cc στρέφω@vpapnms ὁ@ddms ἀκολουθέω@vppadms αὐτός@rpdms ὄχλος@ndmsc λέγω@viaa3s λέγω@vipa1s δέ@cc σύ@rpd-p τοσοῦτος@adafsn πίστις@nafsc οὐδέ@b ἐν@pd ὁ@ddns Ἰσραήλ@ndmsp εὑρίσκω@viaa1s" 
"07","12","05B","() ἐκκομίζω@viip3s θνῄσκω@vpxanms μονογενής@annmsn υἱός@nnmsc ὁ@ddfs μήτηρ@ndfsc αὐτός@rpgms καί@cc αὐτός@rtnfs εἰμί@viia3s χήρα@nnfsc ()" 
"07","14","05B","() καί@cc λέγω@viaa3s νεανίσκος@nvmsc σύ@rpd-s λέγω@vipa1s ἐγείρω@vdap2s" 
"07","15","05B","καί@cc ἀνακαθίζω@viaa3s ὁ@dnms νεκρός@annmsn ()" 
"07","16","05B","δέ@cc () πᾶς@aiampn () δοξάζω@viia3p ὁ@dams θεός@namsc λέγω@vppanmp ὅτι@cs προφήτης@nnmsc μέγας@annmsn ἐγείρω@viap3s ἐν@pd ἐγώ@rpd-p καί@cc ὅτι@cs ἐπισκέπτομαι@viam3s ὁ@dnms θεός@nnmsc ὁ@dams λαός@namsc αὐτός@rpgms" 
"07","17","05B","καί@cc ἐξέρχομαι@viaa3s ὁ@dnms λόγος@nnmsc οὗτος@rdnms ()" 
"07","18","05B","() μέχρι@pg Ἰωάννης@ngmsp ὁ@dgms βαπτιστής@ngmsc ὅς@rrnms ἀκούω@vpaanms ἐν@pd ὁ@ddns δεσμωτήριον@ndnsc ὁ@danp ἔργον@nanpc ὁ@dgms Χριστός@ngmsp" 
"07","19","05B","πέμπω@viaa3s ὁ@damp μαθητής@nampc αὐτός@rpgms πρός@pa αὐτός@rpams λέγω@vppanms σύ@rpn-s εἰμί@vipa2s ὁ@dnms ἔρχομαι@vppmnms ἤ@cc ἕτερος@aiamsn προσδοκάω@vipa1p" 
"07","20","05B","[παραγίνομαι@vpamnmp πρός@pa αὐτός@rpams ὁ@dnmp ἀνήρ@nnmpc λέγω@viaa3p Ἰωάννης@nnmsp ὁ@dnms βαπτιστής@nnmsc ἀποστέλλω@viaa3s ἐγώ@rpa-p πρός@pa σύ@rpa-s λέγω@vppanms σύ@rpn-s εἰμί@vipa2s ὁ@dnms ἔρχομαι@vppmnms ἤ@cc ἄλλος@aiamsn προσδοκάω@vipa1p]" 
"07","21","05B","[ἐν@pd αὐτός@atdfsn δέ@cc ὁ@ddfs ὥρα@ndfsc] θεραπεύω@viaa3s πολύς@anampn () καί@cc τυφλός@andmpn χαρίζομαι@viam3s βλέπω@vnpa" 
"07","22","05B","καί@cc ἀποκρίνομαι@vpapnms λέγω@viaa3s αὐτός@rpdmp πορεύομαι@vpapnmp ἀπαγγέλλω@vdaa2p Ἰωάννης@ndmsp () ὅτι@cs τυφλός@annmpn ἀναβλέπω@vipa3p καί@cc κωφός@annmpn ἀκούω@vipa3p καί@cc χωλός@annmpn περιπατέω@vipa3p καί@cc νεκρός@annmpn ἐγείρω@vipp3p" 
"07","23","05B","καί@cc μακάριος@annmsn ὅς@rrnms ἐάν@x μή@x σκανδαλίζω@vsap3s ἐν@pd ἐγώ@rpd-s" 
"07","24","05B","() ἄρχω@viam3s λέγω@vnpa πρός@pa ὁ@damp ὄχλος@nampc περί@pg Ἰωάννης@ngmsp τίς@rqans ἐξέρχομαι@viaa2p εἰς@pa ὁ@dafs ἔρημος@nafsc θεάομαι@vnam κάλαμος@namsc ὑπό@pg ἄνεμος@ngmsc σαλεύω@vpppams" 
"07","26","05B","() προφήτης@namsc ναί@x λέγω@vipa1s σύ@rpd-p καί@cc περισσός@anamsc προφήτης@ngmsc" 
"07","27","05B","αὐτός@rpnms εἰμί@vipa3s περί@pg ὅς@rrgms γράφω@vixp3s ἰδού@i ἀποστέλλω@vipa1s ὁ@dams ἄγγελος@namsc ἐγώ@rpg-s πρό@pg πρόσωπον@ngnsc σύ@rpg-s ὅς@rrnms κατασκευάζω@vifa3s ὁ@dafs ὁδός@nafsc σύ@rpg-s ἔμπροσθεν@pg σύ@rpg-s" 
